2026-03-18 15:06:12,051 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:06:34,750 | WARNING | auto_paper_download.clients | Skipping 10.2166/washdev.2018.104 (Crossref)：Crossref download blocked by Cloudflare (403) for DOI 10.2166/washdev.2018.104
2026-03-18 15:06:34,752 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:06:34,753 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:06:34,753 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.4102/td.v4i1.170
2026-03-18 15:06:34,756 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:07:28,942 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:07:28,943 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:07:28,943 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.5020/18061230.2012.p5
2026-03-18 15:07:28,952 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:07:43,155 | WARNING | auto_paper_download.clients | Skipping 10.5020/18061230.2012.p5 (Crossref)：No PDF link found via Crossref for DOI 10.5020/18061230.2012.p5
2026-03-18 15:07:43,158 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:07:43,160 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:07:43,160 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/s1001-0742(08)60058-3
2026-03-18 15:07:43,162 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:07:51,382 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/s1001-0742(08)60058-3
2026-03-18 15:07:52,893 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
